,BL1,BL2,r1-r2,NO1,NO2,NO3
828,0.7603222326659934,1.667031875798694,-0.9067096431327005,1.97505158,1.00035939,0.02458903
829,0.760357132162696,1.6660324849716748,-0.9056753528089788,1.97504855,1.00036036,0.02459109
830,0.7603745845691332,1.6650326372765183,-0.9046580527073851,1.97504805,1.00036120,0.02459075
831,0.7603920369755705,1.6640327895813618,-0.9036407526057914,1.97504667,1.00036217,0.02459115
832,0.7604094893820077,1.663032941886205,-0.9026234525041974,1.97504526,1.00036307,0.02459166
833,0.7604443888787102,1.6620335510591862,-0.9015891621804759,1.97504426,1.00036409,0.02459165
834,0.7604618412851475,1.6610337033640297,-0.9005718620788822,1.97504162,1.00036498,0.02459340
835,0.7604792936915847,1.6600338556688732,-0.8995545619772884,1.97503989,1.00036594,0.02459417
836,0.7605141931882873,1.659034464841854,-0.8985202716535667,1.97503863,1.00036695,0.02459442
837,0.7605316455947245,1.6580346171466975,-0.897502971551973,1.97503637,1.00036786,0.02459576
838,0.7605490980011618,1.657034769451541,-0.8964856714503793,1.97503618,1.00036884,0.02459498
839,0.7605839974978643,1.656035378624522,-0.8954513811266578,1.97503162,1.00036978,0.02459860
840,0.7606014499043016,1.6550355309293654,-0.8944340810250638,1.97503174,1.00037074,0.02459752
841,0.7606189023107388,1.654035683234209,-0.8934167809234701,1.97502920,1.00037171,0.02459909
842,0.7606538018074414,1.6530362924071895,-0.8923824905997482,1.97502579,1.00037277,0.02460144
843,0.7606712542138786,1.6520364447120333,-0.8913651904981547,1.97502560,1.00037369,0.02460071
844,0.7607061537105811,1.651037053885014,-0.890330900174433,1.97502533,1.00037461,0.02460006
845,0.7607236061170184,1.6500372061898576,-0.8893136000728392,1.97502683,1.00037546,0.02459771
846,0.7607410585234556,1.6490373584947011,-0.8882962999712455,1.97502303,1.00037654,0.02460043
847,0.7607759580201582,1.648037967667682,-0.8872620096475238,1.97502087,1.00037749,0.02460164
848,0.7607934104265954,1.6470381199725257,-0.8862447095459303,1.97501859,1.00037846,0.02460295
849,0.760828309923298,1.6460387291455063,-0.8852104192222083,1.97501498,1.00037960,0.02460542
850,0.7608457623297352,1.6450388814503498,-0.8841931191206146,1.97501287,1.00038051,0.02460662
851,0.7608632147361725,1.6440390337551931,-0.8831758190190206,1.97501224,1.00038145,0.02460632
852,0.760898114232875,1.6430396429281742,-0.8821415286952992,1.97501087,1.00038237,0.02460675
853,0.7609155666393123,1.6420397952330177,-0.8811242285937054,1.97500880,1.00038336,0.02460784
854,0.7609504661360148,1.6410404044059983,-0.8800899382699835,1.97500514,1.00038442,0.02461044
855,0.760967918542452,1.640040556710842,-0.87907263816839,1.97500507,1.00038535,0.02460958
856,0.7610028180391546,1.6390411658838229,-0.8780383478446683,1.97500394,1.00038640,0.02460966
857,0.7610202704455918,1.6380413181886664,-0.8770210477430745,1.97499849,1.00038742,0.02461409
858,0.7610551699422944,1.6370419273616472,-0.8759867574193528,1.97499616,1.00038842,0.02461542
859,0.7610900694389969,1.636042536534628,-0.8749524670956311,1.97499303,1.00038946,0.02461752
860,0.7611249689356995,1.635043145707609,-0.8739181767719094,1.97499370,1.00039040,0.02461589
861,0.761159868432402,1.6340437548805895,-0.8728838864481875,1.97499173,1.00039130,0.02461696
862,0.7611947679291046,1.6330443640535706,-0.871849596124466,1.97498470,1.00039237,0.02462293
863,0.7612296674258071,1.6320449732265514,-0.8708153058007443,1.97498476,1.00039344,0.02462180
864,0.7612645669225097,1.6310455823995322,-0.8697810154770226,1.97498140,1.00039444,0.02462416
865,0.7612994664192122,1.630046191572513,-0.8687467251533009,1.97497839,1.00039547,0.02462614
866,0.7613343659159147,1.629046800745494,-0.8677124348295792,1.97497730,1.00039652,0.02462618
867,0.7613692654126173,1.6280474099184747,-0.8666781445058575,1.97497459,1.00039753,0.02462788
868,0.7614041649093198,1.6270480190914556,-0.8656438541821357,1.97497120,1.00039861,0.02463019
869,0.7614390644060224,1.6260486282644364,-0.864609563858414,1.97496547,1.00039961,0.02463491
870,0.7614739639027249,1.6250492374374172,-0.8635752735346923,1.97496476,1.00040058,0.02463466
871,0.7615088633994275,1.624049846610398,-0.8625409832109706,1.97496313,1.00040156,0.02463530
